2.3999999999999999 , 3.7999999999999998

3.620819413621053 , 5.0191244003822035

4.8449112583087786 , 6.2432162450699291

6.1041309746381902 , 7.5024359613993408

7.3511561336937961 , 8.7494611204549457

8.6053622575255257 , 1.0003667244286676e+1

9.8394487900484684 , 1.1237753776809619e+1

1.1101772898986299e+1 , 1.250007788574745e+1

1.1962916391981862e+1 , 1.3361221378743013e+1

1.2824131710097108e+1 , 1.3572932835779381e+1

1.3023232949189779e+1 , 1.3762722650967252e+1

1.3216961992136543e+1 , 1.3956451693914016e+1

1.3229994711071834e+1 , 1.3969484412849306e+1

1.3416909500072572e+1 , 1.3969484412849306e+1

1.3611322518956339e+1 , 1.3969484412849306e+1

1.3804525082351411e+1 , 1.3969484412849306e+1

1.3969484412849306e+1 , 1.3993177978666424e+1

1.3969484412849306e+1 , 1.4183427240541654e+1

1.3969484412849306e+1 , 1.4377120306670578e+1

1.3969484412849306e+1 , 1.4568972348087344e+1

1.3969484412849306e+1 , 1.458031643691352e+1

